+-------------+ MotionLogger Conversion to Condor Report +-------------+
SUBJECT_NAME : [File_Name]
SUBJECT_DESCRIPTION :
DEVICE_ID : Micro MotionLogger
FILE_DATE_TIME : [Date and Time of File Creation]
Collection_Start: [Date and Time of first epoch]
Collection_End: [Date and Time of final epoch]
Epoch_Duration:  [epoch duration]
+----------------------------------------------------------------------+
DATE/TIME;EVENT;EXT TEMPERATURE;PIM;PIMn;ZCM;ZCMn;LIGHT;STATE
08/12/2025 11:01:00;0;5.580825556;0;0;0;0;184.230199;0
08/12/2025 11:01:30;0;5.580825556;0;0;0;0;187.088801;0
08/12/2025 11:02:00;0;5.580825556;0;0;0;0;187.442398;0
08/12/2025 11:02:30;0;5.580825556;0;0;0;0;188.327189;0
08/12/2025 11:03:00;0;5.580825556;11201;373.366666666667;16;0.533;222.050394;0
08/12/2025 11:03:30;0;5.580825556;0;0;0;0;383.224498;0
08/12/2025 11:04:00;0;5.580825556;0;0;0;0;379.959188;0
08/12/2025 11:04:30;0;5.580825556;132;4.4;7;0.233;288.654266;0
08/12/2025 11:05:00;0;5.580825556;0;0;0;0;243.049733;0
08/12/2025 11:05:30;0;5.580825556;0;0;0;0;225.001053;0
08/12/2025 11:06:00;0;5.580825556;0;0;0;0;227.777776;0
08/12/2025 11:06:30;0;5.580825556;0;0;0;0;184.216146;0
08/12/2025 11:07:00;0;5.580825556;0;0;0;0;173.069712;0
08/12/2025 11:07:30;0;5.580825556;0;0;0;0;236.281484;0
08/12/2025 11:08:00;0;5.580825556;73;2.43333333333333;5;0.167;230.033859;0
08/12/2025 11:08:30;0;5.580825556;0;0;0;0;161.576925;0
08/12/2025 11:09:00;0;5.580825556;2402;80.0666666666667;39;1.3;141.281316;0
08/12/2025 11:09:30;0;5.580825556;0;0;0;0;182.080902;0
08/12/2025 11:10:00;0;5.580825556;0;0;0;0;195.881521;0
08/12/2025 11:10:30;0;5.580825556;0;0;0;0;168.758037;0
08/12/2025 11:11:00;0;5.580825556;0;0;0;0;195.753565;0
08/12/2025 11:11:30;0;5.580825556;0;0;0;0;179.081492;0
08/12/2025 11:12:00;0;5.580825556;0;0;0;0;203.589869;0
08/12/2025 11:12:30;0;5.580825556;0;0;0;0;178.136429;0
08/12/2025 11:13:00;0;5.580825556;20;0.666666666666667;2;0.067;196.234151;0
08/12/2025 11:13:30;0;5.580825556;0;0;0;0;191.465175;0
08/12/2025 11:14:00;0;5.580825556;679;22.6333333333333;12;0.4;201.156682;0
08/12/2025 11:14:30;0;5.580825556;155;5.16666666666667;6;0.2;172.555974;0
08/12/2025 11:15:00;0;5.580825556;3066;102.2;44;1.467;156.800176;0
08/12/2025 11:15:30;0;5.580825556;0;0;0;0;210.517258;0
08/12/2025 11:16:00;0;5.580825556;0;0;0;0;195.445653;0
08/12/2025 11:16:30;0;5.580825556;648;21.6;16;0.533;179.947154;0
08/12/2025 11:17:00;0;5.580825556;0;0;0;0;153.757004;0
08/12/2025 11:17:30;0;5.709235741;0;0;0;0;159.965591;0
08/12/2025 11:18:00;0;5.580825556;0;0;0;0;185.523992;0
08/12/2025 11:18:30;0;5.709235741;0;0;0;0;186.011053;0
08/12/2025 11:19:00;0;5.580825556;1598;53.2666666666667;15;0.5;191.936635;0
08/12/2025 11:19:30;0;5.580825556;0;0;0;0;191.380371;0
08/12/2025 11:20:00;0;5.709235741;0;0;0;0;193.304149;0
08/12/2025 11:20:30;0;5.580825556;0;0;0;0;188.07693;0
08/12/2025 11:21:00;0;5.580825556;0;0;0;0;183.935542;0
08/12/2025 11:21:30;0;5.580825556;3952;131.733333333333;12;0.4;182.462245;0
08/12/2025 11:22:00;0;5.709235741;0;0;0;0;52.272762;0
08/12/2025 11:22:30;0;5.580825556;0;0;0;0;53.615386;0
08/12/2025 11:23:00;0;5.709235741;0;0;0;0;52.941003;0
08/12/2025 11:23:30;0;5.580825556;3182;106.066666666667;26;0.867;60.711777;0
08/12/2025 11:24:00;0;5.837645926;49;1.63333333333333;2;0.067;84.096992;0
08/12/2025 11:24:30;0;5.837645926;0;0;0;0;91.970238;0
08/12/2025 11:25:00;0;5.709235741;0;0;0;0;91.970238;0
08/12/2025 11:25:30;0;5.709235741;0;0;0;0;92.514056;0
08/12/2025 11:26:00;0;5.709235741;0;0;0;0;92.321284;0
08/12/2025 11:26:30;0;5.709235741;2097;69.9;15;0.5;119.295369;0
08/12/2025 11:27:00;0;5.580825556;0;0;0;0;124.099736;0
08/12/2025 11:27:30;0;5.709235741;0;0;0;0;124.38845;0
08/12/2025 11:28:00;0;5.709235741;0;0;0;0;124.446192;0
08/12/2025 11:28:30;0;5.580825556;0;0;0;0;124.561678;0
08/12/2025 11:29:00;0;5.709235741;0;0;0;0;124.850395;0
08/12/2025 11:29:30;0;5.709235741;0;0;0;0;123.926509;0
08/12/2025 11:30:00;0;5.580825556;0;0;0;0;124.099739;0
08/12/2025 11:30:30;0;5.580825556;0;0;0;0;122.656169;0
08/12/2025 11:31:00;0;5.580825556;0;0;0;0;124.561681;0
08/12/2025 11:31:30;0;5.580825556;0;0;0;0;124.677165;0
08/12/2025 11:32:00;0;5.580825556;0;0;0;0;125.427821;0
08/12/2025 11:32:30;0;5.580825556;0;0;0;0;115.548129;0
08/12/2025 11:33:00;0;5.580825556;0;0;0;0;125.370079;0
08/12/2025 11:33:30;0;5.580825556;0;0;0;0;126.062993;0
08/12/2025 11:34:00;0;5.580825556;0;0;0;0;125.658793;0
08/12/2025 11:34:30;0;5.580825556;0;0;0;0;125.139109;0
08/12/2025 11:35:00;0;5.580825556;0;0;0;0;125.774277;0
08/12/2025 11:35:30;0;5.580825556;26676;889.2;43;1.433;127.044619;0
08/12/2025 11:36:00;0;5.837645926;29653;988.433333333333;163;5.433;81.744919;0
08/12/2025 11:36:30;2;6.864900186;33563;1118.76666666667;131;4.367;178.999206;0
08/12/2025 11:37:00;0;7.956347592;59781;1992.7;128;4.267;173.357697;0
08/12/2025 11:37:30;0;8.566267685;4532;151.066666666667;114;3.8;132.977773;0
08/12/2025 11:38:00;0;9.497203518;1571;52.3666666666667;71;2.367;124.965879;0
